,Date,Open,High,Low,Close,Adj Close,Volume
43,2022-03-07,15867.950195,15944.599609,15711.450195,15863.150391,15863.150391,585400
44,2022-03-08,15747.75,16028.75,15671.450195,16013.450195,16013.450195,543600
45,2022-03-09,16078.0,16418.050781,15990.0,16345.349609,16345.349609,462200
46,2022-03-10,16757.099609,16757.300781,16447.900391,16594.900391,16594.900391,486400
47,2022-03-11,16528.800781,16694.400391,16470.900391,16630.449219,16630.449219,343700
48,2022-03-14,16633.699219,16887.949219,16606.5,16871.300781,16871.300781,314700
49,2022-03-15,16900.650391,16927.75,16555.0,16663.0,16663.0,381600
50,2022-03-16,16876.650391,16987.900391,16837.849609,16975.349609,16975.349609,260000
51,2022-03-17,17202.900391,17344.599609,17175.75,17287.050781,17287.050781,448300
52,2022-03-21,17329.5,17353.349609,17096.400391,17117.599609,17117.599609,285500
53,2022-03-22,17120.400391,17334.400391,17006.300781,17315.5,17315.5,338300
54,2022-03-23,17405.050781,17442.400391,17199.599609,17245.650391,17245.650391,292100
55,2022-03-24,17094.949219,17291.75,17091.150391,17222.75,17222.75,290300
56,2022-03-25,17289.0,17294.900391,17076.550781,17153.0,17153.0,237100
57,2022-03-28,17181.849609,17235.099609,17003.900391,17222.0,17222.0,253200
58,2022-03-29,17297.199219,17343.650391,17235.699219,17325.300781,17325.300781,235100
59,2022-03-30,17468.150391,17522.5,17387.199219,17498.25,17498.25,505000
60,2022-03-31,17519.199219,17559.800781,17435.199219,17464.75,17464.75,281100
61,2022-04-01,17436.900391,17703.699219,17422.699219,17670.449219,17670.449219,291800
62,2022-04-04,17809.099609,18114.650391,17791.400391,18053.400391,18053.400391,345500
63,2022-04-05,18080.599609,18095.449219,17921.550781,17957.400391,17957.400391,283500
64,2022-04-06,17842.75,17901.0,17779.849609,17807.650391,17807.650391,328800
65,2022-04-07,17723.300781,17787.5,17623.699219,17639.550781,17639.550781,308800
66,2022-04-08,17698.150391,17842.75,17600.550781,17784.349609,17784.349609,274400
67,2022-04-11,17740.900391,17779.050781,17650.949219,17674.949219,17674.949219,251700
68,2022-04-12,17584.849609,17595.300781,17442.349609,17530.300781,17530.300781,266000
69,2022-04-13,17599.900391,17663.650391,17457.400391,17475.650391,17475.650391,245100
70,2022-04-18,17183.449219,17237.75,17067.849609,17173.650391,17173.650391,376100
71,2022-04-19,17258.949219,17275.650391,16824.699219,16958.650391,16958.650391,401400
72,2022-04-20,17045.25,17186.900391,16978.949219,17136.550781,17136.550781,286100
73,2022-04-21,17234.599609,17414.699219,17215.5,17392.599609,17392.599609,285200
74,2022-04-22,17242.75,17315.300781,17149.199219,17171.949219,17171.949219,262700
75,2022-04-25,17009.050781,17054.300781,16888.699219,16953.949219,16953.949219,275700
76,2022-04-26,17121.300781,17223.849609,17064.449219,17200.800781,17200.800781,261100
77,2022-04-27,17073.349609,17110.699219,16958.449219,17038.400391,17038.400391,265100
78,2022-04-28,17189.5,17322.5,17071.050781,17245.050781,17245.050781,312900
79,2022-04-29,17329.25,17377.650391,17053.25,17102.550781,17102.550781,336200
80,2022-05-02,16924.449219,17092.25,16917.25,17069.099609,17069.099609,278200
81,2022-05-04,17096.599609,17132.849609,16623.949219,16677.599609,16677.599609,310600
82,2022-05-05,16854.75,16945.699219,16651.849609,16682.650391,16682.650391,265800
83,2022-05-06,16415.550781,16484.199219,16340.900391,16411.25,16411.25,300500
84,2022-05-09,16227.700195,16403.699219,16142.099609,16301.849609,16301.849609,288400
85,2022-05-10,16248.900391,16404.550781,16197.299805,16240.049805,16240.049805,283100
86,2022-05-11,16270.049805,16318.75,15992.599609,16167.099609,16167.099609,284300
87,2022-05-12,16021.099609,16041.950195,15735.75,15808.0,15808.0,314900
88,2022-05-13,15977.0,16083.599609,15740.849609,15782.150391,15782.150391,369100
89,2022-05-16,15845.099609,15977.950195,15739.650391,15842.299805,15842.299805,217600
90,2022-05-17,15912.599609,16284.25,15900.799805,16259.299805,16259.299805,0
